Cluster1:,0.28822243049,1067,(61- 61),(99- 61),(61- 99),(61- 109),(61- 58),(58- 61),(11- 61),(61- 11),(61- 45),(109- 61),(45- 61),(61- 62),(61- 44),(61- 18),(44- 61),non_similarity:0.42962962963,
Cluster2:,0.225316856781,2104,(61- 99),(99- 61),(61- 61),(99- 99),(61- 58),(58- 61),(61- 109),(61- 11),(109- 99),(61- 45),(58- 99),(99- 58),(99- 109),(109- 61),(45- 61),non_similarity:0.42962962963,
Cluster3:,0.31724137931,203,(99- 4),(61- 61),(99- 61),(99- 99),(61- 99),(61- 4),(58- 99),(99- 11),(4- 61),(99- 58),(109- 99),(99- 49),(61- 58),(11- 61),(99- 109),non_similarity:0.644444444444,
Cluster4:,0.28,380,(61- 61),(70- 61),(44- 61),(61- 99),(99- 61),(11- 61),(109- 61),(61- 109),(62- 61),(61- 11),(45- 61),(61- 58),(61- 45),(1- 61),(58- 61),non_similarity:0.437037037037,
Cluster5:,0.260336300692,1011,(11- 61),(61- 61),(109- 61),(61- 11),(99- 61),(61- 99),(61- 109),(58- 61),(11- 99),(45- 61),(11- 11),(61- 58),(76- 61),(61- 45),(99- 11),non_similarity:0.414814814815,
Cluster6:,0.294202898551,276,(61- 61),(110- 45),(61- 45),(45- 61),(61- 99),(45- 45),(11- 61),(99- 61),(99- 45),(110- 61),(58- 45),(45- 99),(61- 109),(61- 11),(109- 61),non_similarity:0.518518518519,
Cluster7:,0.276964769648,246,(61- 61),(45- 56),(45- 61),(61- 56),(61- 45),(99- 61),(61- 99),(56- 61),(61- 58),(45- 99),(61- 109),(61- 11),(61- 44),(58- 61),(99- 56),non_similarity:0.511111111111,
Cluster8:,0.219682539683,105,(61- 61),(28- 11),(61- 99),(109- 61),(99- 61),(61- 11),(11- 11),(11- 61),(28- 61),(61- 109),(99- 11),(28- 44),(61- 28),(99- 99),(61- 33),non_similarity:0.57037037037,
Cluster9:,0.216507936508,105,(16- 14),(61- 61),(61- 49),(61- 14),(61- 58),(61- 11),(61- 99),(61- 45),(99- 61),(61- 109),(16- 99),(58- 61),(16- 49),(58- 58),(109- 61),non_similarity:0.525925925926,
Cluster10:,0.288235294118,34,(64- 46),(61- 61),(64- 61),(61- 99),(64- 58),(61- 64),(64- 99),(45- 61),(99- 11),(61- 46),(99- 61),(46- 99),(99- 46),(109- 99),(61- 10),non_similarity:0.718518518519,
EvaValue:,0.256831193877
