Cluster1:,0.258997188379,1067,(61- 61),(99- 61),(61- 99),(61- 109),(61- 58),(58- 61),(11- 61),(61- 11),(61- 45),(109- 61),(45- 61),(61- 62),(61- 44),(61- 18),(44- 61),(61- 1),(1- 61),(62- 61),(36- 61),(61- 36),
Cluster2:,0.209386882129,2104,(61- 99),(99- 61),(61- 61),(99- 99),(61- 58),(58- 61),(61- 109),(61- 11),(109- 99),(61- 45),(58- 99),(99- 58),(99- 109),(109- 61),(45- 61),(99- 11),(45- 99),(11- 99),(99- 45),(11- 61),
Cluster3:,0.284236453202,203,(99- 4),(61- 61),(99- 61),(99- 99),(61- 99),(61- 4),(58- 99),(99- 11),(4- 61),(99- 58),(109- 99),(99- 49),(61- 58),(11- 61),(99- 109),(109- 61),(4- 99),(58- 61),(61- 109),(61- 11),
Cluster4:,0.253421052632,380,(61- 61),(70- 61),(44- 61),(61- 99),(99- 61),(11- 61),(109- 61),(61- 109),(62- 61),(61- 11),(45- 61),(61- 58),(61- 45),(1- 61),(58- 61),(61- 44),(99- 99),(35- 61),(61- 1),(18- 61),
Cluster5:,0.23293768546,1011,(11- 61),(61- 61),(109- 61),(61- 11),(99- 61),(61- 99),(61- 109),(58- 61),(11- 99),(45- 61),(11- 11),(61- 58),(76- 61),(61- 45),(99- 11),(11- 109),(62- 61),(11- 58),(109- 11),(100- 61),
Cluster6:,0.269746376812,276,(61- 61),(110- 45),(61- 45),(45- 61),(61- 99),(45- 45),(11- 61),(99- 61),(99- 45),(110- 61),(58- 45),(45- 99),(61- 109),(61- 11),(109- 61),(61- 58),(58- 61),(61- 110),(45- 11),(99- 99),
Cluster7:,0.249390243902,246,(61- 61),(45- 56),(45- 61),(61- 56),(61- 45),(99- 61),(61- 99),(56- 61),(61- 58),(45- 99),(61- 109),(61- 11),(61- 44),(58- 61),(99- 56),(45- 109),(45- 58),(11- 61),(62- 61),(45- 45),
Cluster8:,0.205238095238,105,(61- 61),(28- 11),(61- 99),(109- 61),(99- 61),(61- 11),(11- 11),(11- 61),(28- 61),(61- 109),(99- 11),(28- 44),(61- 28),(99- 99),(61- 33),(58- 61),(45- 61),(18- 61),(109- 99),(109- 11),
Cluster9:,0.199047619048,105,(16- 14),(61- 61),(61- 49),(61- 14),(61- 58),(61- 11),(61- 99),(61- 45),(99- 61),(61- 109),(16- 99),(58- 61),(16- 49),(58- 58),(109- 61),(61- 16),(16- 61),(45- 61),(61- 62),(58- 99),
Cluster10:,0.263235294118,34,(64- 46),(61- 61),(64- 61),(61- 99),(64- 58),(61- 64),(64- 99),(45- 61),(99- 11),(61- 46),(99- 61),(46- 99),(99- 46),(109- 99),(61- 10),(99- 99),(61- 4),(87- 61),(46- 61),(61- 35),
EvaValue:,0.233881757368
