Cluster1:,0.423562152134,2155,(61- 61),(99- 61),(61- 99),(61- 109),(61- 58),
Cluster2:,0.310939012585,4131,(61- 99),(99- 61),(61- 61),(99- 99),(61- 58),
Cluster3:,0.467647058824,407,(99- 4),(61- 61),(99- 61),(99- 99),(61- 99),
Cluster4:,0.440789473684,607,(61- 61),(70- 61),(61- 99),(99- 61),(11- 61),
Cluster5:,0.386742424242,2111,(61- 61),(11- 61),(109- 61),(61- 11),(99- 61),
Cluster6:,0.416961130742,565,(61- 61),(110- 45),(61- 45),(45- 61),(61- 99),
Cluster7:,0.394029850746,535,(61- 61),(45- 56),(45- 61),(61- 56),(61- 45),
Cluster8:,0.253571428571,223,(61- 61),(28- 11),(61- 99),(109- 61),(61- 11),
Cluster9:,0.308928571429,223,(61- 61),(16- 14),(61- 49),(61- 14),(61- 58),
Cluster10:,0.286098654709,891,(45- 66),(61- 61),(45- 61),(61- 45),(61- 66),
Cluster11:,0.405882352941,67,(64- 46),(61- 61),(64- 61),(61- 99),(64- 58),
Cluster12:,0.371275167785,1489,(44- 61),(61- 61),(61- 99),(99- 61),(61- 44),
EvaValue:,0.363946103605
