Cluster1:,0.338311688312,1078,(61- 61),(99- 61),(61- 99),(61- 109),(61- 58),(58- 61),(11- 61),(61- 11),(61- 45),(109- 61),0.418181818182,
Cluster2:,0.252371732817,2066,(61- 99),(99- 61),(61- 61),(99- 99),(61- 58),(58- 61),(61- 11),(61- 109),(58- 99),(109- 99),0.518181818182,
Cluster3:,0.36568627451,204,(99- 4),(61- 61),(99- 61),(99- 99),(61- 99),(61- 4),(99- 11),(58- 99),(4- 61),(99- 58),0.681818181818,
Cluster4:,0.356578947368,304,(61- 61),(70- 61),(61- 99),(99- 61),(11- 61),(61- 58),(62- 61),(109- 61),(61- 45),(61- 11),0.5,
Cluster5:,0.303787878788,1056,(61- 61),(11- 61),(109- 61),(61- 11),(99- 61),(61- 99),(61- 109),(58- 61),(11- 99),(45- 61),0.463636363636,
Cluster6:,0.329328621908,283,(61- 61),(110- 45),(61- 45),(45- 61),(61- 99),(45- 45),(11- 61),(99- 61),(99- 45),(58- 45),0.581818181818,
Cluster7:,0.314179104478,268,(61- 61),(45- 56),(45- 61),(61- 56),(61- 45),(99- 61),(61- 99),(56- 61),(61- 58),(61- 109),0.536363636364,
Cluster8:,0.222321428571,112,(61- 61),(28- 11),(61- 99),(109- 61),(61- 11),(99- 61),(11- 11),(11- 61),(28- 61),(61- 109),0.527272727273,
Cluster9:,0.236607142857,112,(61- 61),(16- 14),(61- 49),(61- 14),(61- 58),(61- 11),(61- 99),(61- 45),(99- 61),(61- 109),0.518181818182,
Cluster10:,0.245067264574,446,(45- 66),(61- 61),(45- 61),(61- 45),(61- 66),(45- 12),(99- 61),(45- 99),(61- 99),(45- 45),0.618181818182,
Cluster11:,0.320588235294,34,(64- 46),(61- 61),(64- 61),(61- 99),(64- 58),(61- 64),(64- 99),(45- 61),(99- 11),(61- 46),0.754545454545,
Cluster12:,0.294228187919,745,(44- 61),(61- 61),(61- 99),(99- 61),(61- 44),(61- 109),(109- 61),(58- 61),(61- 11),(44- 99),0.536363636364,
EvaValue:,0.291905187835,,,,,,,,,,,NonSimilarityMeans:,0.554545454545
