Cluster1:,0.289424860853,1078,(61- 61),(99- 61),(61- 99),(61- 109),(61- 58),(58- 61),(11- 61),(61- 11),(61- 45),(109- 61),(45- 61),(61- 62),(61- 44),(61- 18),(61- 1),
Cluster2:,0.228880283963,2066,(61- 99),(99- 61),(61- 61),(99- 99),(61- 58),(58- 61),(61- 11),(61- 109),(58- 99),(109- 99),(61- 45),(99- 58),(99- 109),(109- 61),(99- 11),
Cluster3:,0.314705882353,204,(99- 4),(61- 61),(99- 61),(99- 99),(61- 99),(61- 4),(99- 11),(58- 99),(4- 61),(99- 58),(109- 99),(61- 58),(99- 49),(11- 61),(99- 109),
Cluster4:,0.320614035088,304,(61- 61),(70- 61),(61- 99),(99- 61),(11- 61),(61- 58),(62- 61),(109- 61),(61- 45),(61- 11),(61- 109),(45- 61),(58- 61),(1- 61),(99- 99),
Cluster5:,0.260101010101,1056,(61- 61),(11- 61),(109- 61),(61- 11),(99- 61),(61- 99),(61- 109),(58- 61),(11- 99),(45- 61),(11- 11),(61- 58),(61- 45),(76- 61),(99- 11),
Cluster6:,0.289988221437,283,(61- 61),(110- 45),(61- 45),(45- 61),(61- 99),(45- 45),(11- 61),(99- 61),(99- 45),(58- 45),(110- 61),(45- 99),(61- 109),(61- 11),(109- 61),
Cluster7:,0.271393034826,268,(61- 61),(45- 56),(45- 61),(61- 56),(61- 45),(99- 61),(61- 99),(56- 61),(61- 58),(61- 109),(61- 11),(45- 99),(61- 44),(58- 61),(45- 109),
Cluster8:,0.207738095238,112,(61- 61),(28- 11),(61- 99),(109- 61),(61- 11),(99- 61),(11- 11),(11- 61),(28- 61),(61- 109),(99- 11),(28- 44),(61- 28),(99- 99),(61- 33),
Cluster9:,0.208928571429,112,(61- 61),(16- 14),(61- 49),(61- 14),(61- 58),(61- 11),(61- 99),(61- 45),(99- 61),(61- 109),(16- 99),(58- 61),(16- 49),(58- 58),(109- 61),
Cluster10:,0.214050822123,446,(45- 66),(61- 61),(45- 61),(61- 45),(61- 66),(45- 12),(99- 61),(45- 99),(61- 99),(45- 45),(99- 45),(99- 66),(66- 61),(99- 99),(45- 58),
Cluster11:,0.288235294118,34,(64- 46),(61- 61),(64- 61),(61- 99),(64- 58),(61- 64),(64- 99),(45- 61),(99- 11),(61- 46),(99- 61),(46- 99),(99- 46),(109- 99),(61- 10),
Cluster12:,0.26129753915,745,(44- 61),(61- 61),(61- 99),(99- 61),(61- 44),(61- 109),(109- 61),(58- 61),(61- 11),(44- 99),(61- 45),(61- 58),(44- 109),(45- 61),(62- 61),
EvaValue:,0.256797853309
