Cluster1:,0.423562152134,1078,(61- 61),(99- 61),(61- 99),(61- 109),(61- 58),
Cluster2:,0.310939012585,2066,(61- 99),(99- 61),(61- 61),(99- 99),(61- 58),
Cluster3:,0.467647058824,204,(99- 4),(61- 61),(99- 61),(99- 99),(61- 99),
Cluster4:,0.440789473684,304,(61- 61),(70- 61),(61- 99),(99- 61),(11- 61),
Cluster5:,0.386742424242,1056,(61- 61),(11- 61),(109- 61),(61- 11),(99- 61),
Cluster6:,0.416961130742,283,(61- 61),(110- 45),(61- 45),(45- 61),(61- 99),
Cluster7:,0.394029850746,268,(61- 61),(45- 56),(45- 61),(61- 56),(61- 45),
Cluster8:,0.253571428571,112,(61- 61),(28- 11),(61- 99),(109- 61),(61- 11),
Cluster9:,0.308928571429,112,(61- 61),(16- 14),(61- 49),(61- 14),(61- 58),
Cluster10:,0.286098654709,446,(45- 66),(61- 61),(45- 61),(61- 45),(61- 66),
Cluster11:,0.405882352941,34,(64- 46),(61- 61),(64- 61),(61- 99),(64- 58),
Cluster12:,0.371275167785,745,(44- 61),(61- 61),(61- 99),(99- 61),(61- 44),
EvaValue:,0.363953488372
