Cluster1:,0.338311688312,2155,(61- 61),(99- 61),(61- 99),(61- 109),(61- 58),(58- 61),(11- 61),(61- 11),(61- 45),(109- 61),
Cluster2:,0.252371732817,4131,(61- 99),(99- 61),(61- 61),(99- 99),(61- 58),(58- 61),(61- 11),(61- 109),(58- 99),(109- 99),
Cluster3:,0.36568627451,407,(99- 4),(61- 61),(99- 61),(99- 99),(61- 99),(61- 4),(99- 11),(58- 99),(4- 61),(99- 58),
Cluster4:,0.356578947368,607,(61- 61),(70- 61),(61- 99),(99- 61),(11- 61),(61- 58),(62- 61),(109- 61),(61- 45),(61- 11),
Cluster5:,0.303787878788,2111,(61- 61),(11- 61),(109- 61),(61- 11),(99- 61),(61- 99),(61- 109),(58- 61),(11- 99),(45- 61),
Cluster6:,0.329328621908,565,(61- 61),(110- 45),(61- 45),(45- 61),(61- 99),(45- 45),(11- 61),(99- 61),(99- 45),(58- 45),
Cluster7:,0.314179104478,535,(61- 61),(45- 56),(45- 61),(61- 56),(61- 45),(99- 61),(61- 99),(56- 61),(61- 58),(61- 109),
Cluster8:,0.222321428571,223,(61- 61),(28- 11),(61- 99),(109- 61),(61- 11),(99- 61),(11- 11),(11- 61),(28- 61),(61- 109),
Cluster9:,0.236607142857,223,(61- 61),(16- 14),(61- 49),(61- 14),(61- 58),(61- 11),(61- 99),(61- 45),(99- 61),(61- 109),
Cluster10:,0.245067264574,891,(45- 66),(61- 61),(45- 61),(61- 45),(61- 66),(45- 12),(99- 61),(45- 99),(61- 99),(45- 45),
Cluster11:,0.320588235294,67,(64- 46),(61- 61),(64- 61),(61- 99),(64- 58),(61- 64),(64- 99),(45- 61),(99- 11),(61- 46),
Cluster12:,0.294228187919,1489,(44- 61),(61- 61),(61- 99),(99- 61),(61- 44),(61- 109),(109- 61),(58- 61),(61- 11),(44- 99),
EvaValue:,0.292075337802
