Cluster1:,0.222631578947,190,(61- 61),(61- 45),(35- 61),(61- 27),(61- 1),(61- 33),(61- 62),(61- 36),(1- 61),(61- 35),0.942857142857,
Cluster2:,0.271719038817,541,(61- 11),(61- 45),(11- 61),(61- 58),(61- 99),(45- 61),(11- 11),(11- 99),(61- 61),(99- 11),0.671428571429,
Cluster3:,0.204008908686,449,(61- 109),(61- 61),(109- 61),(109- 109),(99- 109),(61- 44),(58- 109),(61- 58),(61- 99),(11- 109),0.757142857143,
Cluster4:,0.280840336134,595,(99- 99),(61- 99),(99- 61),(11- 99),(58- 99),(99- 11),(109- 99),(45- 99),(99- 109),(44- 99),0.771428571429,
Cluster5:,0.242613636364,352,(58- 61),(61- 58),(58- 99),(58- 58),(61- 18),(58- 109),(99- 58),(58- 18),(58- 45),(58- 11),0.9,
Cluster6:,0.0413278435409,1943,(109- 61),(45- 61),(11- 61),(11- 11),(61- 44),(109- 58),(109- 99),(11- 99),(44- 61),(99- 45),0.785714285714,
Cluster7:,0.193347193347,481,(99- 61),(99- 99),(99- 109),(45- 61),(61- 99),(99- 58),(11- 61),(11- 99),(109- 99),(99- 18),0.7,
Cluster8:,0.433814783347,1177,(61- 61),(61- 99),(99- 61),(58- 61),(61- 58),(11- 61),(109- 61),(61- 11),(45- 61),(61- 109),0.671428571429,
EvaValue:,0.212517458101,,,,,,,,,,,NonSimilarityMeans:,0.775
,,,,,,,,,,,,Dissimilar:,0.684141497905
