Cluster1:,0.183859649123,190,(61- 61),(61- 45),(35- 61),(61- 27),(61- 1),(61- 33),(61- 62),(61- 36),(1- 61),(61- 35),(61- 26),(61- 110),(61- 12),(61- 76),(90- 61),0.933333333333,
Cluster2:,0.235982747998,541,(61- 11),(61- 45),(11- 61),(61- 58),(61- 99),(45- 61),(11- 11),(11- 99),(61- 61),(99- 11),(109- 61),(99- 61),(11- 45),(58- 11),(61- 44),0.657142857143,
Cluster3:,0.16867112101,449,(61- 109),(61- 61),(109- 61),(109- 109),(99- 109),(61- 44),(58- 109),(61- 58),(61- 99),(11- 109),(18- 109),(61- 1),(109- 99),(61- 11),(61- 80),0.733333333333,
Cluster4:,0.241120448179,595,(99- 99),(61- 99),(99- 61),(11- 99),(58- 99),(99- 11),(109- 99),(45- 99),(99- 109),(44- 99),(99- 58),(18- 99),(62- 99),(99- 45),(76- 99),0.771428571429,
Cluster5:,0.200189393939,352,(58- 61),(61- 58),(58- 99),(58- 58),(61- 18),(58- 109),(99- 58),(58- 18),(58- 45),(58- 11),(109- 58),(58- 76),(58- 36),(44- 58),(18- 61),0.885714285714,
Cluster6:,0.0374678332476,1943,(109- 61),(45- 61),(11- 61),(11- 11),(61- 44),(109- 58),(109- 99),(11- 99),(44- 61),(99- 45),(18- 61),(109- 109),(44- 11),(99- 109),(76- 61),0.733333333333,
Cluster7:,0.164518364518,481,(99- 61),(99- 99),(99- 109),(45- 61),(61- 99),(99- 58),(11- 61),(11- 99),(109- 99),(99- 18),(34- 61),(99- 44),(99- 45),(99- 11),(99- 36),0.72380952381,
Cluster8:,0.379835740583,1177,(61- 61),(61- 99),(99- 61),(58- 61),(61- 58),(11- 61),(109- 61),(61- 11),(45- 61),(61- 109),(61- 45),(61- 44),(61- 18),(61- 62),(44- 61),0.67619047619,
EvaValue:,0.183531191806,,,,,,,,,,,,,,,,NonSimilarityMeans:,0.764285714286
,,,,,,,,,,,,,,,,,Dissimilar:,0.663498021415
