Cluster1:,0.162631578947,190,(61- 61),(61- 45),(35- 61),(61- 27),(61- 1),(61- 33),(61- 62),(61- 36),(1- 61),(61- 35),(61- 26),(61- 110),(61- 12),(61- 76),(90- 61),(64- 61),(45- 45),(61- 34),(61- 19),(61- 60),0.914285714286,
Cluster2:,0.213955637708,541,(61- 11),(61- 45),(11- 61),(61- 58),(61- 99),(45- 61),(11- 11),(11- 99),(61- 61),(99- 11),(109- 61),(99- 61),(11- 45),(58- 11),(61- 44),(11- 58),(61- 18),(61- 109),(61- 62),(58- 61),0.671428571429,
Cluster3:,0.149888641425,449,(61- 109),(61- 61),(109- 61),(109- 109),(99- 109),(61- 44),(58- 109),(61- 58),(61- 99),(11- 109),(18- 109),(61- 1),(109- 99),(61- 11),(61- 80),(109- 58),(62- 109),(44- 109),(60- 109),(61- 60),0.75,
Cluster4:,0.214957983193,595,(99- 99),(61- 99),(99- 61),(11- 99),(58- 99),(99- 11),(109- 99),(45- 99),(99- 109),(44- 99),(99- 58),(18- 99),(62- 99),(99- 45),(76- 99),(99- 76),(99- 62),(33- 99),(36- 99),(99- 66),0.814285714286,
Cluster5:,0.175426136364,352,(58- 61),(61- 58),(58- 99),(58- 58),(61- 18),(58- 109),(99- 58),(58- 18),(58- 45),(58- 11),(109- 58),(58- 76),(58- 36),(44- 58),(18- 61),(58- 44),(18- 58),(45- 58),(33- 58),(62- 58),0.878571428571,
Cluster6:,0.0352290272774,1943,(109- 61),(45- 61),(11- 61),(11- 11),(61- 44),(109- 58),(109- 99),(11- 99),(44- 61),(99- 45),(18- 61),(109- 109),(44- 11),(99- 109),(76- 61),(11- 109),(99- 11),(62- 61),(109- 11),(45- 11),0.735714285714,
Cluster7:,0.147920997921,481,(99- 61),(99- 99),(99- 109),(45- 61),(61- 99),(99- 58),(11- 61),(11- 99),(109- 99),(99- 18),(34- 61),(99- 44),(99- 45),(99- 11),(99- 36),(18- 61),(99- 33),(109- 61),(99- 60),(45- 99),0.728571428571,
Cluster8:,0.34528462192,1177,(61- 61),(61- 99),(99- 61),(58- 61),(61- 58),(11- 61),(109- 61),(61- 11),(45- 61),(61- 109),(61- 45),(61- 44),(61- 18),(61- 62),(44- 61),(1- 61),(18- 61),(62- 61),(61- 1),(61- 36),0.664285714286,
EvaValue:,0.165782122905,,,,,,,,,,,,,,,,,,,,,NonSimilarityMeans:,0.769642857143
,,,,,,,,,,,,,,,,,,,,,,Dissimilar:,0.674077994064
