Cluster1:,0.449122807018,190,(61- 61),(61- 45),(35- 61),0.857142857143,
Cluster2:,0.422674060382,541,(61- 11),(61- 45),(11- 61),0.904761904762,
Cluster3:,0.375649591685,449,(61- 109),(61- 61),(109- 61),0.857142857143,
Cluster4:,0.479551820728,595,(99- 99),(61- 99),(99- 61),0.809523809524,
Cluster5:,0.41571969697,352,(58- 61),(61- 58),(58- 99),1.0,
Cluster6:,0.0555841482244,1943,(109- 61),(45- 61),(11- 61),0.904761904762,
Cluster7:,0.358974358974,481,(99- 61),(99- 99),(99- 109),0.857142857143,
Cluster8:,0.616822429907,1177,(61- 61),(61- 99),(99- 61),0.761904761905,
EvaValue:,0.335370111732,,,,NonSimilarityMeans:,0.869047619048
,,,,,Dissimilar:,0.788196869181
