Cluster1:,0.325263157895,190,(61- 61),(61- 45),(35- 61),(61- 27),(61- 1),0.914285714286,
Cluster2:,0.350462107209,541,(61- 11),(61- 45),(11- 61),(61- 58),(61- 99),0.8,
Cluster3:,0.290423162584,449,(61- 109),(61- 61),(109- 61),(109- 109),(99- 109),0.885714285714,
Cluster4:,0.368739495798,595,(99- 99),(61- 99),(99- 61),(11- 99),(58- 99),0.8,
Cluster5:,0.335227272727,352,(58- 61),(61- 58),(58- 99),(58- 58),(61- 18),0.885714285714,
Cluster6:,0.0487905301081,1943,(109- 61),(45- 61),(11- 61),(11- 11),(61- 44),0.914285714286,
Cluster7:,0.266943866944,481,(99- 61),(99- 99),(99- 109),(45- 61),(61- 99),0.771428571429,
Cluster8:,0.521155480034,1177,(61- 61),(61- 99),(99- 61),(58- 61),(61- 58),0.714285714286,
EvaValue:,0.271613128492,,,,,,NonSimilarityMeans:,0.835714285714
,,,,,,,Dissimilar:,0.761614001397
