patterns\K,0,1,2
(1- 1),6.60928429814,-1.901633562,9.74510694364
(1- 2),4.02859595062,4.52553765256,4.18633357669
(1- 3),4.2284527873,4.56262016119,3.72067055567
(1- 4),4.12996245288,4.24503809299,4.11121570584
(1- 5),4.00695256755,4.28722225598,4.19622038501
(1- 6),3.89012632999,4.22617429308,4.38659397687
(1- 8),3.31876694583,5.33488893931,3.95939217285
(1- 9),4.37360041112,4.09340633319,4.03244502157
(1- 10),3.96421448301,4.44718994627,4.17463271995
(1- 11),3.31846565968,4.89257546337,4.34675949928
(1- 12),3.67723207386,3.80648744234,4.93972970408
(1- 14),4.27693208881,4.08904103054,4.10690061068
(1- 15),4.19113151512,4.17071628083,4.11507088391
(1- 16),3.99817804582,4.40489139438,4.11113144968
(1- 17),4.12244219588,3.76514041566,4.45704986205
(1- 18),3.88354689882,4.65087225198,4.08580452908
(1- 19),4.20148479465,4.106753475,4.20318275212
(1- 20),4.02427017379,4.62179863162,3.86384077339
(1- 22),3.62572139925,6.65439418747,2.70858509823
(1- 24),3.50602738451,3.93055776134,4.6434728939
(1- 25),4.18174781981,4.33907146958,3.93146014454
(1- 26),4.75503106861,3.65387148407,4.23691578697
(1- 27),3.43111003066,5.560391834,3.62017760595
(1- 28),4.3329981212,3.98890504948,4.19552643418
(1- 29),4.35775366894,4.12756672865,3.95330363928
(1- 30),4.1035186061,4.36165867242,3.98472706208
(1- 31),2.61461975405,5.91042165094,4.14723972009
(1- 32),4.54623643255,4.16070194359,3.87987142905
(1- 33),4.02630959391,4.47012979753,4.01131147604
(1- 34),3.97625608818,4.57642659732,4.01445457018
(1- 35),4.59580067735,4.11282675503,3.75271229527
(1- 36),4.10191119743,4.32842059658,4.0730016953
(1- 37),4.33255451474,3.84156726367,4.20762082704
(1- 38),4.39673657888,4.04621037502,4.01759310583
(1- 39),4.28257228102,4.19085903507,4.03319705293
(1- 40),4.82029910647,3.3616441988,4.47922581295
(1- 41),3.91896790925,4.43801263952,3.95047859512
(1- 42),4.09807380852,4.25726342634,4.09946169226
(1- 43),3.79985471553,4.49946852787,4.21474584575
(1- 44),3.91807270981,4.31762954498,4.25939649094
(1- 45),4.05541484725,4.43328485393,4.0485556917
(1- 46),3.88902122422,4.74898584219,3.89953744778
(1- 47),3.9649172966,3.84715696107,4.67787759139
(1- 48),3.78887937784,4.39749946139,4.13889592841
(1- 49),4.25877809766,4.06160497716,4.14782532844
(1- 50),4.4506919739,3.89376029564,3.9320048354
(1- 51),3.61677176965,3.59645545185,4.74499267958
(1- 52),4.7951759489,4.36515427043,3.48546393876
(1- 53),4.38506840581,4.06700897735,4.21469619538
(1- 54),3.31273615191,4.97399421151,4.29283764901
(1- 55),3.85243866379,4.40321426199,4.31778387714
(1- 56),4.54866028474,3.88530196328,4.19058629491
(1- 57),4.20147303666,4.02324028652,4.2700107973
(1- 58),3.82033142359,4.55637148959,4.15258802885
(1- 60),4.11959611803,4.49750409102,3.97571501023
(1- 61),4.70981524865,4.66991429906,3.25063767354
(1- 62),4.09984615623,4.18960486624,4.23587939024
(1- 63),4.28448924043,4.11768806328,4.1826759677
(1- 64),3.49945586904,4.81061040488,4.30206885071
(1- 65),3.7205439503,4.62204858109,4.30991030188
(1- 66),3.93574164326,4.84488892885,3.76391682359
(1- 67),4.27390038735,4.09110182281,3.88081441085
(1- 70),4.04126069382,4.22231988462,4.33908297404
(1- 71),4.05100058651,4.35349414481,4.04024742311
(1- 72),4.52327561672,3.86911049909,3.90318333079
(1- 73),4.37685861185,4.19607649544,3.91013396369
(1- 74),4.39394494247,4.55778049751,3.73855183957
(1- 75),4.6535050573,4.03489297285,3.96328512407
(1- 76),4.43426565126,4.76735410072,3.45413162024
(1- 77),4.35680106987,3.6057636189,4.50993733068
(1- 78),3.74886669349,4.45776720808,4.29574317643
(1- 79),3.79682629303,3.80802164194,4.77475206408
(1- 80),4.05520927823,4.18471962773,4.29823165473
(1- 81),3.8279197122,3.59358479653,5.05317506423
(1- 82),3.92492129317,4.4866285859,4.11223335639
(1- 83),4.08003014355,4.19373675923,4.22348621243
(1- 84),3.91898760651,4.63335397744,3.90181395978
(1- 85),3.33823494334,4.0132193713,4.89469600594
(1- 86),3.620805919,4.30478332033,4.4617846081
(1- 87),4.28354629949,4.34362140083,3.873847589
(1- 88),3.85370301648,4.58846155522,4.02620352062
(1- 89),4.11591559882,4.07408217437,4.34383758193
(1- 90),4.02701893279,4.35299838399,4.13453197235
(1- 91),4.36698559649,4.13455506885,3.90386488984
(1- 93),2.99081083468,5.01024684286,4.71329763565
(1- 94),3.88816717084,4.81341728475,3.68222650139
(1- 95),4.13807345564,3.89869810041,4.40938590894
(1- 96),4.00454469723,4.68680976584,3.79424091765
(1- 97),4.02014860462,4.31204658024,4.13582287982
(1- 98),4.02275731012,3.88237088962,4.59896340866
(1- 99),4.11520162289,4.1282237165,4.33755172868
(1- 100),4.04976489476,4.14521601163,4.29558224977
(1- 101),4.3029108314,4.07325818771,4.1687807821
(1- 102),4.03290979236,4.24962487373,4.17942358371
(1- 103),3.6733715206,3.98907542464,4.63969575632
(1- 104),3.95033938183,4.57738633925,4.02200442709
(1- 105),4.26798683188,4.21667525578,3.96903929051
(1- 106),4.462425751,3.7879095718,4.0455321518
(1- 107),4.25620789076,4.04889177413,4.22253982918
(1- 108),4.32930734538,4.09936439152,4.04090181167
(1- 109),5.58323369812,3.85926296074,3.3884931513
(1- 110),4.47552040416,4.44117460828,3.70487331882
(2- 1),3.81722919039,4.22280569001,4.43562646175
(2- 2),4.67301589173,3.75286607197,3.1564449066
(2- 3),2.88270039195,4.48052284176,4.56549949244
(2- 4),4.12087522337,4.37174538566,3.9129571441
(2- 5),4.15746239317,4.67776314825,3.58531413245
(2- 6),4.63653996108,4.12934936403,3.72773361397
(2- 8),4.37519707431,4.08962563575,3.97912567928
(2- 9),4.20867250576,4.45300665458,3.88349916664
(2- 10),4.30499512984,4.02139898389,4.18178137833
(2- 11),4.05189094297,4.08824837601,4.34870560767
(2- 12),4.25250592096,4.20716809546,4.05657560569
(2- 14),4.29886496955,4.01767974951,4.260438078
(2- 15),4.24596832292,4.07497049449,4.01367704696
(2- 16),2.33768095976,2.42494297725,2.02444354942
(2- 17),1.02451205123,2.09943580635,2.43720563996
(2- 18),4.30852546717,4.10385032768,4.05111919065
(2- 19),3.87622173284,4.25939093035,4.48316952898
(2- 20),3.97339243029,4.17909317512,4.40640554609
(2- 22),3.81825008176,4.58496183673,4.15860182559
(2- 24),0.420201256233,0.383527911379,0.571270071438
(2- 25),3.48931126718,3.50705008977,5.18414160532
(2- 26),3.68223702963,4.61643971667,4.17658217976
(2- 27),3.83397662327,4.35298558192,4.32207487354
(2- 28),4.15831576617,4.17060647856,4.18162400265
(2- 29),1.35088389545,0.520777582818,0.813639554291
(2- 30),4.56570856003,4.10817024478,3.67992146024
(2- 31),4.38624336791,4.21458152409,3.90475890579
(2- 32),4.52291597265,3.67766197142,4.23591888487
(2- 33),4.36012557659,4.30819248776,3.77952357976
(2- 34),3.5653987461,4.69513814202,4.41279899493
(2- 35),3.93949133444,3.89092939709,4.58951629182
(2- 36),4.27000564885,3.99835038935,4.28522997187
(2- 37),2.36903468794,2.14889647683,1.46454407719
(2- 38),4.18710594979,4.62965729306,3.46760424071
(2- 39),3.5276901017,4.27527671511,3.02024563295
(2- 40),3.23601919958,3.15004875044,2.95083592501
(2- 41),3.57087192045,3.29088838865,4.23723487625
(2- 42),4.40063809851,3.15343285323,4.65995969405
(2- 43),3.4016505029,4.43532568695,4.01704194442
(2- 44),4.58981689479,3.85025515641,3.959932745
(2- 45),4.43959228676,4.19451706274,3.88160776918
(2- 46),1.28231542952,2.27950440359,1.7993907569
(2- 47),0.824253250709,1.04095544124,1.10355564155
(2- 48),3.04956440211,3.73678283825,3.8200392148
(2- 49),4.12151578185,3.6966184741,4.20114476734
(2- 50),4.36002136269,4.48606187927,3.69565517135
(2- 51),1.18975975763,1.61713565537,1.19322644248
(2- 52),4.9392519922,3.5503360256,2.69558064833
(2- 53),3.6404368958,4.31382498452,4.36712645211
(2- 54),4.53812924944,4.02508486699,3.34262522335
(2- 55),4.30244889565,3.62810163391,4.38654845004
(2- 56),4.95045867786,3.80704709175,3.58698508444
(2- 57),2.77481751974,4.33541224499,3.48928362215
(2- 58),4.096019893,4.01159506667,4.38173994908
(2- 60),4.31209013624,4.25318596022,3.84811553751
(2- 61),4.13523835558,4.18486857493,4.17308541158
(2- 62),4.08341637325,4.52622918231,3.90615373947
(2- 63),3.72828144328,4.38450765016,4.30126969252
(2- 64),4.14056646062,4.068244572,4.21267469639
(2- 65),4.01919625208,4.46185847339,4.07828366352
(2- 66),4.55280739082,3.98071745608,4.02093603364
(2- 67),3.81093195088,2.50067998622,3.8355871547
(2- 70),4.19487646241,4.36013755501,3.99776270509
(2- 71),3.51728798102,2.5334227788,3.62074955646
(2- 72),4.09025582735,4.79802491794,3.58734460528
(2- 73),4.03630775794,4.30971458369,3.88497170621
(2- 74),4.13573700772,4.32658636398,4.03161412559
(2- 75),3.88884162371,3.23213648246,4.67160268145
(2- 76),4.07578464933,4.42592268593,3.97610426579
(2- 77),4.61896540335,4.32279827607,3.08584708376
(2- 78),3.47963913717,3.00274315183,3.40057458309
(2- 79),4.22309146711,3.85212920343,4.37497087965
(2- 80),3.98633288282,4.49959983015,4.0741070977
(2- 81),3.7481289035,4.47639411082,4.20183389552
(2- 82),3.57010075516,4.12991047987,4.23118979126
(2- 83),4.45803535871,4.04750429767,3.93271603291
(2- 84),3.88124979929,4.00655601434,4.57164032469
(2- 85),4.00153620094,4.48514190193,4.11736459172
(2- 86),0.720790682851,0.925480493938,0.52256593101
(2- 87),2.39760142468,2.62800736618,3.31615788327
(2- 88),3.70355570017,3.07239085041,3.64556501883
(2- 89),3.99845683378,4.04394030663,4.34433188708
(2- 90),4.0301831329,4.33633648353,4.11903932102
(2- 91),3.7278549484,4.442763105,4.19322733651
(2- 93),3.6972095311,3.99329106378,2.67351145444
(2- 94),3.88921748895,4.5241324978,4.18904473943
(2- 95),5.38754076289,4.34479112643,3.94202174831
(2- 96),1.68525684413,1.64491266484,1.64727168902
(2- 97),4.27122617499,3.85613992922,4.34752966111
(2- 98),3.66174803132,2.55170528283,3.58492725052
(2- 99),4.01123270318,4.16394171803,4.24581589509
(2- 100),4.27807915512,3.71927720686,4.37622977243
(2- 101),4.0407541997,3.9040252191,4.3774139186
(2- 102),4.45333092516,4.13231851145,3.54507072616
(2- 103),3.40870301228,2.59087120248,3.35913609476
