patterns\K,0,1,2,3
(1- 1),2.998394871,6.552294788,10.5204688118,-2.30760911778
(1- 2),2.9070562857,4.28302244647,3.79553679283,3.66519233498
(1- 3),3.29350884896,3.98561081437,3.57053695467,3.41081187627
(1- 4),3.53963503251,3.46491178571,3.55780419639,3.76827689392
(1- 5),3.60414714051,3.47526189878,3.65954688263,3.63017258017
(1- 6),3.80284000663,3.59475045828,3.44508826509,3.4906663687
(1- 8),4.50324996846,1.65696231707,3.83316382153,4.62254926615
(1- 9),3.40000386661,3.46930985432,3.62669692588,3.85258892432
(1- 10),3.51315987428,3.32453743605,3.62085462307,4.02000366717
(1- 11),3.71268758472,3.84544380579,3.82590578937,2.96558643286
(1- 12),3.15861615461,3.31933381542,4.08356722838,3.84014615488
(1- 14),3.43926389241,3.66595616307,3.83831844588,3.37314142003
(1- 15),3.65816449409,3.28646111166,3.86049309952,3.5002088189
(1- 16),3.45471104565,3.57858503754,3.67203488028,3.6737692454
(1- 17),3.22106090745,3.71418954744,3.51476925003,3.82717771505
(1- 18),4.17541337806,3.6072233562,3.29131369809,3.34098894471
(1- 19),3.40522744079,3.99150518706,3.36677026323,3.62837777594
(1- 20),3.58736095801,3.692245937,4.0466042535,2.85686866898
(1- 22),4.72045228653,0.821398067223,5.77923886642,3.77865821572
(1- 24),4.25325414689,2.93147004707,3.11003257876,3.10097969446
(1- 25),3.53044460228,3.27028931151,3.44906477047,3.95955725546
(1- 26),4.31191187019,2.55749069625,4.54758618302,3.10194689118
(1- 27),3.37477449345,3.41637644735,3.70237715736,3.98915429639
(1- 28),3.55609051331,3.8246254727,3.23654029476,3.6607562825
(1- 29),3.45007034578,3.23979699263,3.69627419814,3.89852829801
(1- 30),3.38114601162,3.62311313359,3.55594653933,3.74369447356
(1- 31),3.79220122233,2.83175047489,4.22022499832,3.77380083461
(1- 32),1.82763789234,4.79529206869,4.38541314282,3.67149434737
(1- 33),3.54706706625,3.50654118953,3.59018412286,3.72463444788
(1- 34),3.26268793205,3.78512307965,3.4747991578,3.89114691559
(1- 35),3.54260054681,3.89552368683,3.55212353024,3.37578225542
(1- 36),3.39480305061,3.63957709781,3.70873077247,3.630261502
(1- 37),3.89705729558,2.97124131078,3.67469296769,3.4750636621
(1- 38),3.76157523041,3.58752744005,3.44583518619,3.54419912563
(1- 39),3.60035018248,3.77956332253,3.36989745085,3.67894250276
(1- 40),3.80921826132,3.36764958212,3.89896550999,3.67019250055
(1- 41),3.52535188286,3.71905470058,3.39673875689,3.47551927115
(1- 42),3.34197386584,3.3082854929,3.27512506847,4.2797441807
(1- 43),3.287389932,3.55129404291,3.67952418625,3.88506978972
(1- 44),3.37357880509,3.61793420941,3.75755918416,3.59884591824
(1- 45),3.84913408696,3.55097393485,3.42799822321,3.57000496816
(1- 46),3.87772402596,3.69052966075,3.36854077954,3.49355422126
(1- 47),3.24473218339,3.5882210904,3.51263583761,4.04375117657
(1- 48),3.32143452226,2.97998624024,4.21998048617,3.41153349098
(1- 49),3.7174421945,3.64289937613,3.36582548049,3.60695237416
