patterns\K,0,1,2,3,4,5
(99- 38),2.34435623338,4.63163310191,6.84928247505,-4.07468079887,2.55587400586,6.57370270833
(99- 72),4.04012313932,2.6224272559,2.04965373252,2.72190723247,3.24068781903,2.30027374434
(99- 11),2.87048848064,2.78820764237,2.49570566653,2.59576463883,3.1243739663,2.80482527487
(99- 76),2.77851765767,2.96027642446,2.70737435736,2.60399982299,2.98937972868,2.66123948831
(99- 86),2.84788455817,2.83748200319,2.60958353823,2.81285993742,2.8035700471,2.79391208841
(99- 57),2.45846512689,2.87820334569,2.62676599532,3.05570712459,2.92776516236,2.72915294911
(72- 38),4.39299039429,2.13573027758,3.88309156671,3.56076665503,2.72773727872,0.0686778848334
(72- 72),2.70262634543,3.0983878851,2.67082611157,2.68510838876,2.85970669112,2.72969457803
(72- 11),2.91690054606,2.7678520583,2.62093528603,2.97971625132,3.14584295644,2.41975144263
(72- 76),3.04103105425,3.03369783493,2.85652837448,2.419659461,2.72359696353,2.71753399827
(72- 86),2.22460648096,2.69810196975,2.63199068128,2.39489646524,3.01637222655,3.58433015996
(72- 57),2.9739197201,2.79848088187,2.66021886641,2.83829945125,2.70117084673,2.73932043542
(105- 38),2.89075986803,2.73399948608,2.69882912955,2.71465050681,2.50032059724,3.0938463135
(105- 72),2.81173204614,2.91313671823,2.62058857467,2.87376963144,2.70268072491,2.78191334799
(105- 11),2.66837440522,2.62221669534,2.46012430945,3.26469615965,2.93341115091,2.64228848679
(105- 76),2.51433949226,2.24637601062,2.0252277607,3.18938232901,4.21257998085,2.59980308586
(105- 86),2.64208920914,2.85244705551,2.66300508233,2.84929482678,2.9228881682,2.81727631319
(105- 57),3.39635297247,2.0704912423,2.82375589012,2.36775991772,3.01121753566,2.80852231723
(11- 38),4.71748457349,3.02413081141,2.44132998139,1.63529474996,4.38643452588,1.4118126046
(11- 72),2.46850586402,2.50880755722,2.83317760618,2.42024834616,3.08268897764,2.89199854638
(11- 11),2.75805890766,3.01583888614,2.65055303682,3.10769412644,2.54764019023,2.56910647999
(11- 76),1.48561537855,4.03612291338,2.13455227105,2.37061168431,3.06068365876,3.80212710282
(11- 86),2.97300784016,0.886818159821,4.37654410971,2.88416117046,1.92139788218,3.36491689481
(11- 57),3.29126699726,2.81177691804,2.76915086621,2.54640634949,2.8209869042,2.43014067922
(79- 38),3.01904471557,2.55441702459,2.72697236495,2.79587409774,2.77938455668,2.70110697602
(79- 72),2.80327977414,2.73443367041,2.9664365763,2.39769018299,2.73690059943,2.96646042128
(79- 11),2.83095864755,3.68732969832,3.12702613588,2.09675654255,2.85553884212,2.44579948773
(79- 76),1.72364390681,3.25200887092,1.96526637902,3.20180342927,4.21340538442,2.68908645753
(79- 86),2.58404570181,3.01546048074,2.69343442392,2.75660455021,2.68366754611,2.99019829885
(79- 57),2.68183902532,2.98923442982,2.96581203735,2.57224880963,2.83937253018,2.73619106944
(61- 38),2.75672072046,2.98603140277,2.81277228148,2.63596559661,2.80496340393,2.74861208005
