patterns\K,0,1,2,3,4,5,6
(99- 38),-1.09643996902,7.72690848478,3.66361395512,-0.0378697363372,1.43621445164,0.495223882664,8.37865027415
(99- 72),3.40132908142,2.10287539903,2.80682371914,2.30515531631,2.71260887893,2.51927752888,2.62073544132
(99- 11),2.35410682834,2.8702142545,2.62515835789,2.23369280834,2.69960943407,2.74894699946,2.19493266798
(99- 76),2.83469303671,2.54806693337,2.45872272914,2.27698065704,2.88706695592,2.41107796436,2.53561424471
(99- 86),2.59928053931,2.43571220316,2.57781976865,2.59682737973,2.56250009744,2.67124026122,2.57501645187
(99- 57),2.6835634398,2.61125799561,2.37594834931,2.6088656443,2.57446252125,2.54255962326,2.60832335994
(72- 38),3.12309564961,0.764538134821,2.14301882285,1.56311303521,2.5158149777,4.08433865048,4.05666906472
(72- 72),2.81865168503,2.35670561864,2.57576019037,2.50962573271,2.42930405633,2.57962741859,2.80938537945
(72- 11),1.87804155997,2.78407018558,2.31433721336,2.55329202352,3.36865901284,3.14188740501,1.6579297293
(72- 76),2.58739123624,2.56699692426,2.20541856727,2.92332066071,2.66606933722,2.72766322199,2.29603563761
(72- 86),2.4083537558,3.20605031311,2.62886961698,2.7202767718,2.27110946881,2.02304017345,2.58878400865
(72- 57),2.63018948275,2.60939808247,2.37210928498,2.33743836185,2.48411490995,2.828899824,2.72941025677
(105- 38),2.19427785661,2.77102053626,2.67015594788,2.84482034037,2.54381532022,2.60320708456,2.1448192058
(105- 72),2.47565270223,2.45473124473,2.6105465136,2.71070205333,2.6218892459,2.39650786188,2.72977087936
(105- 11),3.08758663788,2.69486232348,2.47259124309,2.50950592853,2.52170996765,2.11311676204,2.34717909913
(105- 76),3.13600584846,2.18971907874,2.16064299201,2.56895288831,3.91040712734,1.69204454507,2.55114010392
(105- 86),2.70587134454,2.41493735953,2.48284744445,2.71184697201,2.68868053802,2.47396596781,2.57727629767
(105- 57),2.71125918571,2.47386039672,2.37584588206,2.22630987153,2.97736935283,2.76122009482,2.35467003451
(11- 38),-0.258950032651,2.43737732858,3.38027394959,2.13162770538,4.26379513094,3.10899662595,4.05704772388
(11- 72),2.90191216251,2.45970049286,3.1049490746,1.92316434816,2.27192455272,2.66066635655,2.06671057442
(11- 11),2.6810820222,2.42453749531,1.9905183783,2.68629628261,2.70582621779,2.74724267997,2.75923204409
(11- 76),0.907769728696,4.18985747573,3.19556008296,2.61721003765,2.07822279517,2.42693066263,1.87895887175
(11- 86),3.9781161986,3.51447202744,2.32269451676,3.08256395633,1.5274750083,0.93217577281,2.61676554311
(11- 57),2.39161774704,2.7894972789,2.24347921676,2.72721694022,2.31645013853,2.7236316377,2.88755978439
(79- 38),2.30635678735,2.5316938342,2.50719359187,2.68952187023,2.55806035452,2.79466400378,2.42835697833
(79- 72),2.61975672534,2.56449866578,2.5203314926,2.53833988659,2.61756532443,2.50148873229,2.59743006148
(79- 11),2.83635728484,1.96237317432,1.70811427866,3.78127590108,1.46002523769,3.5885885531,3.23925911461
(79- 76),2.5906216018,1.63069952495,2.69330227546,1.47785681598,3.12105247696,3.38905558884,3.60814030308
