patterns\K,0,1,2,3,4,5,6,7
(1- 1),7.49210378506,5.56891107181,-2.95058258029,5.49657670234,-2.63931302073,6.87488657886,1.62398405375,3.87651560847
(1- 2),3.49076690705,3.04157480848,2.47985801301,2.26826741815,2.21313987325,2.15547271627,2.66591188707,2.19518446527
(1- 3),2.5320918434,2.56454652764,2.27900948223,2.83076553671,2.33117481453,2.70976879821,1.88441789571,2.65618461984
(1- 4),2.30317440786,2.42311318864,2.19611673318,2.51513040734,2.40488719764,2.76907945071,2.46500260695,2.90606289184
(1- 5),2.68587168168,2.16802111649,2.51107307526,2.78302118058,2.34046170861,2.58347282971,2.48537182681,2.31539045707
(1- 6),2.12947243706,2.92345080169,2.22762801373,2.89271629454,1.9871612235,2.41964297797,2.83366612245,2.29190539445
(1- 8),1.75447712701,3.94297753666,2.66795082349,1.23426198059,2.63564812384,3.72694158444,2.53729159016,1.52321903157
(1- 9),2.76498919508,2.63267020207,2.08641191899,2.64150560053,2.40614564489,2.54958001484,2.25926708776,2.71822671414
(1- 10),2.54482164325,3.0291748274,2.80811002354,2.54350737662,2.45488912797,2.49489672334,2.17762202714,1.81328220139
(1- 11),2.48037088991,2.1674544411,2.81497701467,3.01260330316,2.32538565135,2.51863775793,2.57041658101,1.89780706221
(1- 12),2.645457249,2.13799654843,1.95507332382,3.19051118764,2.09042714882,2.78859861081,2.4573845271,2.79724507684
(1- 14),2.39123694933,2.35495072275,2.63525981143,2.2790729576,2.87626790673,2.3663103651,2.3573246207,2.55577742224
(1- 15),2.73061255343,2.89806981415,2.15697203539,2.95607979755,2.6266848729,2.1006687855,2.39226329182,2.16895478319
(1- 16),2.40724371957,2.32996366042,2.49313878238,2.37214472496,2.82844572311,2.41713222547,2.74117349695,2.41186320178
(1- 17),1.83312432317,2.4464668063,2.30468220947,3.00843265444,2.4385630106,2.7869972398,2.39735694242,2.22288286746
(1- 18),3.13241421263,2.6001319611,2.35378419109,2.94239080522,2.39997163264,2.13375331516,2.09934275062,2.4349500396
(1- 19),2.59257567437,2.60512773679,2.20487181785,2.5146251696,2.64465480806,2.51240475209,2.73037862173,2.24458910835
(1- 20),2.49799342419,2.52675681462,3.03755533009,2.52235425779,2.22804685938,1.94681765756,2.37311977986,2.36985620585
(1- 22),-0.145656592367,6.32414141766,0.130948702987,4.25958057669,1.94131769731,3.46895226195,3.22876841683,3.24707913928
(1- 24),1.50470810887,2.70380050627,2.66220828243,2.38984316795,3.10261832438,1.78234381823,1.63475624276,2.15333218606
(1- 25),2.37431052491,2.38259694097,2.7760041875,2.26181125225,2.55272071611,2.3826621279,2.54830624765,2.42908126209
(1- 26),2.39448470534,2.69776587092,2.39168866798,3.62068513186,1.74819947273,2.57780277797,2.83990050613,2.06168243535
(1- 27),2.06646723362,2.00768565066,3.25814331384,2.01347454816,2.55906626305,3.04018706464,2.42324475798,2.62568176901
(1- 28),2.27395658762,2.58183773973,2.94274455655,2.25986990223,2.5038870879,2.8250393043,2.02299661667,2.03197635812
(1- 29),1.91821986097,2.79410796413,2.88116293514,2.35071719748,2.58964438957,2.06821754174,2.1907017679,2.73285014735
(1- 30),2.74077758985,2.55932347919,2.24882539674,2.67143282802,2.27743360989,2.52627847241,2.39894757282,2.47349910559
(1- 31),4.14615267258,2.93410698203,1.1673452719,1.56178715908,1.45931276352,3.99977429905,1.89973010093,3.38263773953
(1- 32),2.68534595209,4.14961343162,1.52450551313,3.79072817593,2.05918476751,1.80199549867,1.51237923926,3.1930219147
(1- 33),2.48918707728,2.7906209414,2.69096685677,2.44706698182,2.05449365512,2.10974169528,2.4514063327,2.92336446615
(1- 34),2.8102572221,2.50865597297,2.88005097731,1.98191192947,2.204573176,2.34727530129,2.55696098213,2.4943906278
(1- 35),2.33361906139,2.57983063674,2.24716740411,2.40268415713,2.88730719081,2.49925728433,2.29803945734,2.78673302103
(1- 36),2.55711195039,2.73961889545,2.40598486669,2.65625970129,2.34473090874,2.45737802327,2.48069376115,2.24812944229
(1- 37),2.85864765448,1.92512290569,2.59149617074,2.26898994589,1.96967104388,2.27073932231,2.52382505577,2.69837415946
(1- 38),2.71345336083,2.63162576324,2.33779967985,2.34714270848,2.30073613646,2.69329848464,2.74858907532,2.15430817635
(1- 39),2.43643002694,2.58484546818,2.27780383737,2.57869333474,2.34629147328,2.44294717857,2.68314501235,2.75361432997
(1- 40),1.57228750913,2.24170004308,3.25625306613,2.97577611162,1.6144553983,2.74470086015,2.8332066527,3.42836704927
(1- 41),2.34708998515,2.38589463607,2.97456090992,2.7450175669,2.73832041397,1.91885503989,1.96692025163,2.06644170013
(1- 42),2.2508846798,2.73314857011,2.38502315768,2.25966823458,2.63354206006,2.58981127143,2.36578700529,2.38973988341
(1- 43),3.05355116768,2.24999058703,2.41167947738,2.41666250174,2.58348788794,2.31356552128,2.08906398625,2.83020649659
(1- 44),2.76286770833,2.36805711951,2.27458501931,2.51055783186,2.39921164517,2.57257290349,2.37420227077,2.72569243373
(1- 45),2.47221674791,2.42564661938,2.33666896517,2.70778372013,2.31276096391,2.61781991456,2.55518302604,2.58807431703
(1- 46),2.35698369176,2.41987165041,2.87169997952,2.22644588258,2.16243515481,2.60859682192,2.48109228354,2.90057845218
(1- 47),2.83057722231,3.03962700726,2.6069001315,2.01625906658,1.68911546473,1.79146988994,3.04618818546,2.70066891812
(1- 48),2.48282339731,1.80023997359,2.8443824679,2.84779633243,2.2950361404,2.83592286693,2.12243088135,1.68633256195
(1- 49),2.36407911782,2.80557725166,2.37738777108,2.48371430208,2.54272381197,2.49396834574,2.31224463894,2.52211513518
(1- 50),2.68124831483,2.52418106495,2.50353288668,2.19833600271,2.46897293552,2.81270999385,1.60830800097,2.21290044801
(1- 51),2.34767268657,1.71796556858,2.47512961396,2.04199426856,2.47567031223,3.09146234392,2.38859311794,1.39061338143
(1- 52),3.16187077243,2.84046748745,1.91949333155,2.19176699445,2.37304267002,2.50659318202,2.54393690932,2.85071424061
(1- 53),2.76592093398,1.90459078487,2.65019695546,2.25317381293,2.14926911121,3.41301771811,2.63483765898,2.4644540052
(1- 54),2.3403161192,2.44891735386,2.79544402949,3.0005778931,1.89360233275,2.16160703539,2.99860078953,2.1325089603
(1- 55),2.70346733047,2.68594326814,2.80759351784,2.47270268954,2.05711246281,2.51959676635,2.33009498068,2.19149255358
(1- 56),2.28350135362,1.98577349662,2.3776228272,2.58385435339,2.80256236977,1.92323464867,3.48204303762,2.67739854323
(1- 57),1.97256305723,2.35981590326,2.62997968204,2.57811134605,2.13644492049,2.91289827039,2.68692153508,2.60372246129
(1- 58),2.69701547338,2.57219005777,2.64569590898,2.35293697615,2.04740428605,2.39083057317,2.68322548277,2.56453439627
(1- 60),2.4839553424,2.27217832673,2.42010792055,2.66711676288,2.64872326972,2.59931352092,2.4838162507,2.48904078716
(1- 61),3.26455871232,2.50175129617,2.35720778567,1.65486070657,2.05975583537,2.42201058571,3.12723599573,2.94784171973
(1- 62),2.69601686764,2.65424751345,2.34264435385,2.5332556223,2.1676507058,2.69116166187,2.47230975298,2.53270711415
(1- 63),2.85758716471,4.1097416737,1.13728073199,3.92286702575,1.64861109355,2.45392922982,1.9252382616,2.64169980156
(1- 64),2.90072204869,2.78975178682,1.91112173319,1.4230139031,2.77878817524,3.17850675858,1.70102209067,3.90777901316
(1- 65),2.52741225652,3.61052184991,2.08532904991,2.14528209859,2.40746986827,2.11453572118,3.23074435935,2.30990144448
(1- 66),3.0325319311,2.36288102214,2.0940887024,1.986966598,2.80035801415,2.5610536613,2.43341845212,2.70515031918
(1- 67),2.5192875993,1.86534859807,2.95253383976,2.24336404226,2.42317454933,2.08286991388,1.87390742285,2.65934790659
(1- 70),3.28457387564,1.72648374106,1.9245491584,2.47809163675,3.1552096025,2.67182802473,2.39847786923,2.74270012148
(1- 71),2.06811928543,2.59366641066,2.91449493979,2.71943727745,2.21863261233,2.5494378171,2.22805355927,2.33199929574
(1- 72),2.51119977329,1.48434682871,2.24040116669,2.90311509015,2.58641917492,2.37380962201,2.4778224585,1.78006074189
(1- 73),2.45237626244,2.93337620637,2.32547497437,2.36329693439,2.34447508889,2.63045868932,2.28143977636,2.62004628038
(1- 74),3.33710154423,2.55501046651,2.16756415462,2.43966220907,2.39196894778,2.33046350659,2.46193923441,2.68023731263
(1- 75),1.79069486184,3.41282517405,2.83612468684,3.02878989336,1.91720620716,2.15686391473,2.43144635127,2.90028223501
(1- 76),2.37286591582,2.36157389872,2.25763438981,2.39103230282,1.36710296943,2.41325532075,3.23500611687,4.00600763721
(1- 77),2.66555333139,3.0240254144,2.61458252203,2.27398941203,2.09197107622,2.37708554083,1.78894990853,2.80989721933
(1- 78),2.13555764171,2.26663372762,2.83748870491,2.74735584506,2.85467969717,2.16635901613,2.71404781856,2.15601813596
(1- 79),3.26599425255,2.17755936717,2.08641295084,2.31618958068,2.51531418392,2.35037118944,2.8366686464,2.25839767905
(1- 80),2.70696012059,2.41865148321,2.31389417762,2.51972552076,2.20833492105,2.44715017088,2.57636720833,2.91312298978
(1- 81),3.06945115609,2.30332058605,1.77267653069,2.67610721371,2.48272466949,2.87896061517,2.46428995055,2.35297390146
(1- 82),2.51483314308,2.12496143905,2.65195065969,2.75743476359,2.4028119983,2.59277851262,2.43334398134,2.34230344882
(1- 83),2.23759100168,2.82216471914,2.61553569107,2.4843712695,2.6407372054,2.32231898258,2.14169092592,2.5162402355
(1- 84),2.68537569491,2.3323051015,2.9174496564,2.31899749822,2.47473193473,2.19718396312,2.4333572283,2.23803781302
(1- 85),2.68294141827,2.465556175,2.55207305261,2.50274480611,1.83459595252,3.22880291477,1.39646664937,2.63864518158
(1- 86),1.91235285029,2.97419740266,2.79430833012,2.58993956439,2.31458772126,2.4448909498,2.17094780586,2.49364710268
(1- 87),2.71059054718,2.75927942556,2.93469533515,1.99696059863,2.36892505126,2.45973475973,2.09917887624,2.29077895197
(1- 88),2.58690325513,3.08288223153,2.6733071652,2.59078217788,1.80486175325,1.99708046804,2.36656545842,2.43589061933
(1- 89),2.78175309845,2.48949130061,2.57928768237,2.43600303192,2.53503925487,2.22130316967,2.20407126177,2.82271783528
(1- 90),2.33899329733,2.52021456216,2.20616528636,2.59201737899,2.41922750439,2.51153950852,2.74740722191,2.67356891177
(1- 91),2.29855809585,2.52848950775,2.62116156274,2.65465506122,2.38554671508,2.31522889798,2.53114860833,2.35227117779
(1- 93),1.76608525518,2.30025983729,3.13100778137,2.87564070196,2.14760348047,2.7771428453,2.49323344541,2.50194796536
(1- 94),2.33361143429,2.77040413066,3.25247174517,1.81735766188,2.77817144445,1.8942167118,1.90993457884,2.52899892949
(1- 95),2.70992379601,2.70136503063,2.72713809283,2.18927573813,2.68093113758,2.2322357754,2.61681912928,1.86348813456
(1- 96),2.16870575968,2.39860125135,2.5768123007,2.52486977817,2.74653536304,2.08106542021,3.1802205274,2.09527075762
(1- 97),2.20107978602,2.31680514024,2.69848589919,2.63779494571,2.45099179967,2.28359224098,2.63764929707,2.47897197946
(1- 98),2.43397107914,2.7963379006,2.14388617047,2.42809156015,2.6980070593,2.45061284199,2.54632731405,2.32925058713
(1- 99),4.78611344814,0.654050825019,1.35725301438,1.38942022714,2.11754091166,3.60473055555,2.52378277173,3.92700349465
(1- 100),2.43473342258,2.59179608456,2.0775722912,2.9631821937,2.43790248149,2.31577753471,2.42451869477,2.71591789199
(1- 101),2.91324284567,2.26444818367,2.23550194253,2.34217473453,2.28568947566,2.49150047208,2.87821185338,2.65690247239
(1- 102),2.40764125189,2.2733074075,2.65992457077,2.31484699746,2.77357559064,2.57699650293,2.18721620403,2.69125623407
(1- 103),2.46822253105,2.47189046321,2.58132150589,2.25330391909,2.47479380288,2.97017673774,2.17462223418,2.26215803479
