patterns\K,0,1,2,3,4,5,6,7,8
(1- 1),2.44719086677,3.39692736892,-0.11166561886,5.15784608865,4.33597772623,2.19818311569,-4.31943918942,4.21401862146,7.72106272334
(1- 2),3.14127067221,1.2895962245,3.58173327404,2.06056235022,1.81931869137,1.81261538779,2.98908530108,2.45239310961,2.2647111811
(1- 3),2.27275281364,2.05381854087,2.3509952628,2.06784427824,2.57698657071,2.09592765449,2.26392197685,2.64378545025,2.2218034496
(1- 4),2.32226825972,2.72865883517,2.31019496885,2.47948067819,2.23016960116,2.08212305752,1.74801910653,2.4680602492,2.26578476366
(1- 5),2.35281686422,2.34665967545,2.33976211948,2.13656731302,2.46270039743,2.5066490562,2.50368253082,2.06548312042,2.19201674192
(1- 6),1.89653554227,2.41119811716,2.36775872134,2.50308211537,1.9685893553,2.22628830808,2.53089894639,2.34602387956,2.46333477415
(1- 8),2.21476730627,2.28070865575,2.55644656154,1.44654629573,1.57245241161,2.97073689332,3.1760151061,0.569870509602,4.34578614984
(1- 9),2.59428191804,2.2619316627,2.14612563133,2.16928003481,2.40646744429,2.60621572711,2.56999653743,2.0897515162,2.06753907173
(1- 10),2.93560420192,2.11833057739,3.01060948895,2.26989891674,1.74993814714,2.15522982612,2.16233157084,2.04952125943,2.55907805655
(1- 11),2.05995816374,2.04116486173,2.65101911948,1.61380164624,2.61151203752,2.54393558225,2.52597450675,2.44836142908,2.20173611565
(1- 12),2.02273465898,2.34424992416,1.78767289167,2.26557596368,2.76937324459,2.42252356235,2.50231775044,2.13528470257,2.56365925526
(1- 14),2.08483218127,2.52051735197,2.53739559903,2.48149873117,2.24661886107,2.12164827207,2.37350478513,1.93854367699,2.44458845187
(1- 15),2.18753520595,1.8271746968,2.71066588425,1.98427128367,2.48616107705,2.42481458508,1.92136651173,2.54202731473,2.49971745353
(1- 16),2.54633219406,2.12462875095,2.20398701523,2.29414173509,2.52291199555,2.17232702978,2.43955763987,2.44333260669,2.19196841462
(1- 17),2.38272162396,2.5018081655,2.0881349721,2.38260458117,2.17670842653,2.19055635556,2.58433385432,2.35301442296,2.06826391473
(1- 18),2.56354442769,2.04645146862,2.06795037533,2.166138265,2.36727890275,2.74357544798,2.19578692138,2.46888671959,2.55371285089
(1- 19),2.31790405528,2.30490969339,2.66172581452,2.04575888398,2.40476079203,2.29658140778,2.37598315624,2.3570997707,2.08668201132
(1- 20),2.54199276687,2.11142573566,2.57205082359,2.34230004769,1.99125932957,1.5896615516,1.82296186216,2.66952034863,2.63659985856
(1- 22),4.36174300244,2.58242198556,1.66982044779,4.44562639482,2.77846632979,5.50817241602,3.37199474975,-0.900397332167,0.478260325873
(1- 24),2.10296797881,2.20189247571,2.48285596471,2.16910496006,1.98228676388,1.52259645653,2.67009253748,1.8911362006,2.47811531991
(1- 25),2.35300680687,1.77621190272,2.39265649363,2.15514210539,2.12804362244,2.31630273712,2.59345017198,2.83041551201,2.00705404711
(1- 26),2.04950635606,2.9494756241,1.93101502507,1.9009824408,2.84562218969,2.54063271657,2.02462160506,2.28154685845,2.44247317709
(1- 27),2.18023277136,1.93609241616,2.33738251694,0.966726457661,2.20349113396,3.55980929666,3.03183638853,1.84666040809,2.99033521281
(1- 28),2.35540325207,2.70508702833,1.87156756048,2.04055289075,2.28674569935,1.68190277435,2.38559019069,2.58437116422,2.42085804091
